NAME,MSINI,MASS,A,PER,PLANETDISCMETH
Kepler-107 d,,0.00371234,0.0780099,7.958203,Transit
Kepler-1049 b,,0.00245309,0.0344721,3.27346074,Transit
Kepler-813 b,,0.0159697,0.13761,19.12947337,Transit
Kepler-427 b,0.310432,0.29,0.091351,10.290994,Transit
Kepler-1056 b,,0.0271261,0.185149,27.495606,Transit
Kepler-1165 b,,0.0115843,0.0912977,9.478522,Transit
Kepler-1104 b,,0.00609283,0.0627651,5.03728015,Transit
WASP-14 b,7.65457,7.69234,0.0367693,2.243752,Transit
Kepler-50 b,,0.0164915,0.0825598,7.8125124,Transit
NN Ser d,0.642621,0.642621,3.70596,2605,Timing
WASP-105 b,1.75919,1.75922,0.0745473,7.87288,Transit
GJ 625 b,0.0089295,0.0089295,0.0783624,14.628,RV
Kepler-1279 b,,0.0129028,0.170989,23.4774101,Transit
Kepler-1599 b,,0.0120821,0.48075,122.363553,Transit
Kepler-20 b,0.0266149,0.0266646,0.0453704,3.6961219,Transit
HAT-P-27 b,0.615135,0.617485,0.0399488,3.039577,Transit
Kepler-181 b,,0.00674351,0.0419466,3.137873,Transit
HD 116029 b,1.9075,1.9075,1.64869,670,RV
Kepler-207 b,,0.0117295,0.0269045,1.611865,Transit
Kepler-1156 b,,0.00774372,0.101981,11.89520511,Transit
Kepler-1512 b,,0.00518721,0.13139,20.35972599,Transit
Kepler-787 b,,0.00688654,0.0161327,0.9283105,Transit
Kepler-528 b,,0.0154788,0.143629,19.78297415,Transit
HD 219828 b,0.0622185,0.0622185,0.0515012,3.8334999,RV
Kepler-480 b,,0.0233514,0.0609811,4.9195838,Transit
Kepler-1567 b,,0.0227057,0.5527,153.979578,Transit
HD 3167 b,0.0157857,0.015891,0.0181491,0.959641,Transit
Kepler-1390 b,,0.00518721,0.0675681,6.48021673,Transit
Kepler-1642 b,,0.0304768,0.0994208,12.2057513,Transit
Kepler-11 c,,0.00912437,0.106909,13.0241,Transit
Kepler-871 b,,0.0437521,0.159318,22.0459018,Transit
Kepler-1131 b,,0.0118667,0.0458416,3.53232449,Transit
Kepler-705 b,,0.0156727,0.231978,56.0560538,Transit
HD 1237 b,3.3748,3.3748,0.494668,133.71001,RV
WASP-21 b,0.300201,0.300272,0.0521087,4.322482,Transit
Kepler-284 c,,0.0210192,0.219317,37.514456,Transit
Kepler-186 c,,0.00636705,0.0574114,7.267302,Transit
HD 4308 b,0.0477376,0.0477376,0.119192,15.56,RV
Kepler-239 b,,0.0177874,0.101225,11.763051,Transit
Kepler-651 b,,0.0181548,0.146649,21.38521506,Transit
Kepler-80 f,,0.00609283,0.017386,0.98678706,Transit
Kepler-1217 b,,0.0147338,0.0320163,2.03232507,Transit
Kepler-895 b,,0.0115145,0.0337283,2.80624233,Transit
Kepler-628 b,,0.243389,0.121444,15.4580567,Transit
Kepler-408 b,0.000699655,0.000699655,0.0366405,2.46502,Transit
Kepler-174 b,,0.014454,0.113583,13.98179,Transit
Kepler-440 b,,0.0136945,0.353207,101.11141,Transit
Kepler-403 d,,0.00991268,0,13.61159129,Transit
K2-6 b,,0.0213284,0.19095,30.9446,Transit
Kepler-224 d,,0.0174811,0.0988375,11.349393,Transit
Kepler-389 c,,0.0107805,0.116434,14.51143,Transit
Kepler-674 b,,0.0125233,0.0282874,2.24338185,Transit
Kepler-1047 c,,0.00277643,0.0435026,3.18897601,Transit
Kepler-1247 b,,0.0178026,0.106621,13.71220213,Transit
Kepler-1210 b,,0.0125983,0.0771394,8.07124073,Transit
Kepler-254 c,,0.0160511,0.104915,12.412183,Transit
Kepler-236 c,,0.0147725,0.162691,23.968127,Transit
WASP-25 b,0.578118,0.57847,0.0473714,3.764825,Transit
Kepler-186 d,,0.00934866,0.0860831,13.342996,Transit
Kepler-1646 b,,0.00609283,0.0330793,4.48558383,Transit
HATS-11 b,0.846543,0.846665,0.0461455,3.6191634,Transit
HD 24040 b,4.02189,4.02189,4.92406,3668,RV
Kepler-359 c,,0.0607789,0.292189,57.68802,Transit
Kepler-211 c,,0.00711292,0.0649112,6.04045,Transit
Kepler-967 b,,0.0180364,0.103279,13.22713379,Transit
Kepler-1574 b,,0.00709482,0.0726189,6.9424334,Transit
Kepler-1157 b,,0.00392895,0.0483728,4.45743164,Transit
Kepler-549 b,,0.020474,0.230006,42.9495649,Transit
Kepler-1510 b,,0.0340314,0.399998,84.703921,Transit
HD 59686 A b,6.91979,6.91979,1.08598,299.36,RV
Kepler-1002 b,,0.0126737,0.0556094,4.33642933,Transit
Kepler-294 c,,0.0223552,0.0690438,6.6264,Transit
Kepler-263 c,,0.019315,0.256083,47.332773,Transit
Kepler-349 b,,0.0139923,0.0641159,5.929778,Transit
Kepler-1563 b,,0.00105753,0.0445351,3.43276598,Transit
Kepler-1611 b,,0.00136198,0.0573666,5.1762429,Transit
Kepler-1284 b,,0.00571923,0.0140554,0.66407381,Transit
HD 200964 b,1.94873,1.94873,1.64347,613.8,RV
Kepler-706 b,,1,0.223617,41.40831347,Transit
HD 147018 b,2.12711,2.12711,0.238855,44.236,RV
HD 218566 b,0.212872,0.212872,0.687282,225.7,RV
HD 45364 b,0.187149,0.187149,0.68156,226.93,RV
Kepler-1177 b,,0.014034,0.436075,106.247547,Transit
Kepler-1364 b,,0.0160703,0.125617,13.32196237,Transit
Kepler-653 b,,0.0143786,0.118258,14.70748976,Transit
Kepler-553 b,,0.0707577,0.0482066,4.03046804,Transit
Kepler-361 b,,0.010538,0.081426,8.486616,Transit
Kepler-318 c,,0.0419521,0.101523,11.815007,Transit
WASP-140 b,2.4185,2.43513,0.0323373,2.2359835,Transit
Kepler-372 b,,0.00850717,0.0705863,6.849692,Transit
Kepler-197 e,,0.00208313,0.168262,25.209715,Transit
HD 141937 b,9.4752,9.4752,1.50087,653.21997,RV
K2-11 b,,1,0.25272,39.93767,Transit
Kepler-405 c,,0.071727,0.187804,29.726682,Transit
Kepler-104 d,,0.0392746,0.271796,51.755394,Transit
Kepler-702 b,,0.531485,0.0907551,10.52629406,Transit
Kepler-26 d,,0.00371234,0.0454914,3.543919,Transit
Kepler-159 b,,0.0183139,0.0916828,10.139623,Transit
HD 156668 b,0.0130582,0.0130582,0.0499846,4.6455,RV
MOA-2009-BLG-387L b,,2.6,1.76808,1970,Microlensing
Kepler-1045 b,,0.0220818,0.165053,26.41045478,Transit
Kepler-905 b,,0.00965491,0.0568739,5.08274652,Transit
Kepler-763 b,,0.00590412,0.0208123,1.19655156,Transit
Kepler-1376 b,,0.00351465,0.059158,5.30880656,Transit
Kepler-32 f,,0.00143611,0.0130732,0.74296,Transit
WASP-103 b,1.48481,1.48791,0.0198682,0.925542,Transit
Kepler-990 c,,0.0124263,0.0131638,0.53835431,Transit
WASP-131 b,0.272434,0.273475,0.0608315,5.322023,Transit
Kepler-221 e,,0.0212781,0.136253,18.369917,Transit
Kepler-1028 b,,0.00796813,0.0349411,2.51462432,Transit
Kepler-256 c,,0.0160511,0.0441473,3.38802,Transit
GJ 649 b,0.325341,0.325341,1.13179,598.3,RV
Kepler-1333 b,,0.0238504,0.439185,109.6471842,Transit
Kepler-276 b,,0.0247188,0.114376,14.12841,Transit
Kepler-1042 b,,0.0163773,0.0832577,10.13202575,Transit
Kepler-264 c,,0.0241007,0.52792,140.101261,Transit
HD 132406 b,5.60495,5.60495,1.98227,974,RV
Kepler-143 b,,0.0186399,0.124306,16.007583,Transit
Kepler-1225 b,,0.0133743,0.0746694,7.01075434,Transit
Kepler-189 c,,0.0183139,0.144846,20.134866,Transit
HD 38529 c,12.2603,12.2603,3.6002,2146.0503,RV
Kepler-62 b,,0,0.0552794,5.714932,Transit
Kepler-281 b,,0.0239491,0.117153,14.646008,Transit
Kepler-1006 b,,0.0115145,0.13168,19.76172042,Transit
Kepler-196 c,,0.0168894,0.256426,47.427737,Transit
Kepler-238 c,,0.0184218,0.0657332,6.155557,Transit
Kepler-49 c,,0.0202381,0.07889,10.9129343,Transit
Kepler-55 c,,0.016585,0.202122,42.1516418,Transit
Kepler-791 b,,0.0277215,0.127324,14.5539759,Transit
WASP-19 b,1.11405,1.13339,0.0163152,0.78884,Transit
Kepler-310 d,,0.019315,0.401368,92.876125,Transit
Kepler-619 c,,0.0125233,0.022851,1.20846503,Transit
Kepler-204 c,,0.0131908,0.170262,25.660593,Transit
Kepler-26 b,,0.0397121,0.0902469,12.282356,Transit
Kepler-374 c,,0.00409374,0.0432285,3.282807,Transit
Kepler-395 b,,0.00324127,0.0719854,7.054346,Transit
WASP-93 b,1.42669,1.44377,0.0417621,2.7325321,Transit
K2-16 b,,0.015254,0.0666347,7.6188,Transit
HD 126614 A b,0.385706,0.385706,2.36847,1244,RV
Kepler-875 b,,0.0252452,0.181834,27.5073799,Transit
Kepler-1508 b,,0.00796813,0.154158,20.7056504,Transit
Kepler-1568 b,,0.00730709,0.152944,20.925392,Transit
Kepler-80 e,,0.0121773,0.0544864,4.645387,Transit
Kepler-83 d,,0.014298,0.0585134,5.169796,Transit
Kepler-519 b,,0.0155754,0.157968,24.3078946,Transit
Kepler-192 d,,0.00313024,0,6.47027579,Transit
Kepler-167 b,,0.010538,0.0481157,4.393147,Transit
HD 215152 b,0.00572025,0.00572025,0.0576393,5.75999,RV
Kepler-772 b,,0.0133743,0.107432,12.99207337,Transit
Kepler-295 d,,0.00850717,0.204929,33.884054,Transit
Kepler-337 b,,0.0115417,0.043316,3.292781,Transit
HIP 67537 b,,,4.9058,2556.5,RV
HD 177830 b,1.31967,1.31967,1.13872,410.1,RV
Kepler-516 b,,0.110157,0.195757,24.85462415,Transit
Kepler-1562 b,,0.0385876,0.316103,64.2737752,Transit
Kepler-226 d,,0.00587447,0.0789926,8.109044,Transit
K2-99 b,0.974675,0.975461,0.158693,18.249,Transit
HD 42012 b,1.6121,1.6121,1.66108,857.5,RV
HD 38283 b,0.338157,0.338157,1.02382,363.2,RV
Kepler-386 b,,0.00915403,0.104341,12.31043,Transit
Kepler-922 b,,0.00991268,0.0184414,0.93846683,Transit
HD 217786 b,13.1868,13.1868,2.3791,1319,RV
Kepler-363 c,,0.0125062,0.0752686,7.542427,Transit
Kepler-687 b,,0.0377408,0.134386,20.50586978,Transit
Kepler-1457 b,,0.0147338,0.270431,51.1110243,Transit
CoRoT-24 c,0.0872135,0.0872267,0.0980725,11.759,Transit
Kepler-567 b,,0.0170154,0.119888,16.54297375,Transit
Kepler-1453 b,,0.021778,0.252883,47.1611696,Transit
Kepler-24 d,,0.0123736,0.0513038,4.244384,Transit
HD 32518 b,3.34549,3.34549,0.595162,157.54,RV
Kepler-980 b,,0.021778,0.101644,11.55102504,Transit
Kepler-472 b,,0.0309268,0.048077,4.17625551,Transit
Kepler-402 c,,0.0116666,0.0655142,6.124821,Transit
Kepler-435 b,0.854333,0.84,0.0948432,8.6001536,Transit
WASP-18 b,10.0636,10.2006,0.0201401,0.9414529,Transit
HD 145934 b,2.28382,2.28382,4.6069,2730,RV
CoRoT-6 b,2.95325,2.95364,0.0854177,8.886593,Transit
Kepler-127 c,,0.0216742,0.186396,29.393195,Transit
Kepler-839 b,,0.020474,0.235594,37.8144514,Transit
Kepler-203 c,,0.019315,0.0600193,5.370647,Transit
Kepler-1234 b,,0.0238504,0.0949095,11.94014029,Transit
Kepler-1127 b,,0.0144664,0.0575745,5.12330347,Transit
Kepler-732 c,,0.00668223,0.0143082,0.89304124,Transit
HD 73267 b,3.06257,3.06257,2.19849,1260,RV
HD 147513 b,1.17965,1.17965,1.30958,528.40002,RV
K2-28 b,,0.0181771,0.0214313,2.260455,Transit
Kepler-1528 b,,0.0107116,0.0291497,1.79111021,Transit
Kepler-893 b,,0.027323,0.0670296,6.33855761,Transit
Kepler-1387 b,,0.00225358,0.0317279,2.27952666,Transit
Kepler-1062 b,,0.0129801,0.0786582,9.30412078,Transit
HD 72659 b,3.1741,3.1741,4.75375,3658,RV
K2-29 b,0.361551,0.362167,0.0421448,3.2588321,Transit
BD +14 4559 b,1.51929,1.51929,0.775866,268.94,RV
HD 1605 b,0.96903,0.96903,1.48605,577.9,RV
Kepler-79 b,,0.0343,0.114456,13.485,Timing
Kepler-202 b,,0.0121124,0.0498841,4.069427,Transit
Kepler-709 b,,0.0256089,0.115768,16.08524954,Transit
HD 197037 b,0.807324,0.807324,2.07477,1035.7,RV
HD 70642 b,1.90944,1.90944,3.18072,2068,RV
KELT-2 A b,1.52019,1.52064,0.0549707,4.1137912,Transit
Kepler-10 b,0.0142142,0.0142824,0.0167573,0.837495,Transit
Kepler-208 e,,0.0112762,0.125606,16.259458,Transit
Kepler-1365 b,,0.00215846,0.0763129,7.69993485,Transit
Kepler-270 c,,0.0130508,0.168498,25.262887,Transit
Kepler-966 b,,0.0557908,0.423716,99.747622,Transit
Kepler-1010 b,,0.0176872,0.196353,34.2685705,Transit
HD 17674 b,0.875702,0.875702,1.41961,623.8,RV
K2-24 c,0.0980475,0.0980484,0.246993,42.3633,Transit
Kepler-811 b,,0.0222358,0.161485,23.58447697,Transit
Kepler-225 c,,0.0135483,0.138343,18.794234,Transit
Kepler-1305 b,,0.0138656,0.11018,13.5630972,Transit
Kepler-150 d,,0.0235009,0.105752,12.56093,Transit
K2-77 b,,0.0180684,0.0738763,8.199796,Transit
Kepler-1322 b,,0.0120099,0.0184246,0.96286738,Transit
Kepler-405 b,,0.015437,0.0945195,10.613839,Transit
Kepler-208 b,,0.0121124,0.0511769,4.22864,Transit
M 67 YBP 1194 b,0.346328,0.346328,0.0715732,6.958,RV
Kepler-1084 b,,0.00422224,0.0328337,2.05333679,Transit
Kepler-616 b,,0.0188877,0.0902152,9.99761851,Transit
Kepler-325 d,,0.0235009,0.223972,38.715185,Transit
Kepler-1065 c,,0.0119381,0.0340815,2.37030743,Transit
Kepler-1464 c,,0.00289089,0.0600955,5.32786292,Transit
